,what,microsoft,ceo,is,also,an,alumni,of,the,university,of,chicago,?
in,0.30808621644973755,0.15674716234207153,0.13535729050636292,0.5394441485404968,0.5073733329772949,0.2605783939361572,0.2126772403717041,0.5696388483047485,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.23921214044094086,0.20430970191955566
business,0.21758167445659637,0.2918210029602051,0.40349170565605164,0.19332653284072876,0.26247191429138184,0.2052680253982544,0.2608011066913605,0.23985227942466736,0.2389037162065506,0.3387548327445984,0.23985227942466736,0.271560400724411,0.1545659303665161
",",0.3087472915649414,0.21971753239631653,0.24176505208015442,0.4691906273365021,0.4717654287815094,0.3581022024154663,0.2394251972436905,0.4946078956127167,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.31091248989105225
notable,0.31026893854141235,0.17303863167762756,0.13853716850280762,0.20672309398651123,0.2548656165599823,0.23083588480949402,0.3171335458755493,0.1985267549753189,0.20948168635368347,0.11267898231744766,0.1985267549753189,0.2335868626832962,0.31928157806396484
alumni,0.11965817958116531,0.17926143109798431,0.21360662579536438,0.13451172411441803,0.22353194653987885,0.06920046359300613,1.0,0.27771928906440735,0.22524002194404602,0.5021953582763672,0.27771928906440735,0.2558347284793854,0.130934476852417
include,0.1535889357328415,0.1049598753452301,0.135862797498703,0.28863582015037537,0.4212084710597992,0.14737801253795624,0.17035536468029022,0.37431180477142334,0.2951717972755432,0.09942364692687988,0.37431180477142334,0.1418200135231018,0.14925788342952728
microsoft,0.22177881002426147,1.0,0.30889075994491577,0.16905339062213898,0.20650778710842133,0.24197964370250702,0.17926143109798431,0.19447508454322815,0.23993754386901855,0.14200298488140106,0.19447508454322815,0.21261024475097656,0.23943206667900085
ceo,0.12662312388420105,0.30889075994491577,0.9999999403953552,0.14999867975711823,0.21185244619846344,0.10429366677999496,0.21360662579536438,0.14724358916282654,0.16098161041736603,0.21092920005321503,0.14724358916282654,0.22868463397026062,0.13378572463989258
satya,0.2498985081911087,0.2460435926914215,0.2368718534708023,0.15830659866333008,0.2207445502281189,0.14771977066993713,0.11301257461309433,0.1976732611656189,0.16841347515583038,0.15887324512004852,0.1976732611656189,0.12068731337785721,0.17688582837581635
nadella,0.11745936423540115,0.24827517569065094,0.2425161898136139,0.1688326597213745,0.24241214990615845,0.18568012118339539,0.11936342716217041,0.23752160370349884,0.21126766502857208,0.1895165741443634,0.23752160370349884,0.2741295099258423,0.14431720972061157
