,in,experiments,",",a,bridge,of,what,element,can,be,built,between,poles,of,a,magnet,?
that,0.435920387506485,0.34689804911613464,0.4137537479400635,0.47537946701049805,0.17686614394187927,0.41498205065727234,0.6297725439071655,0.29008960723876953,0.4522190988063812,0.6036020517349243,0.2532336115837097,0.299440860748291,0.24584241211414337,0.41498205065727234,0.47537946701049805,0.2427070438861847,0.32716336846351624
is,0.5394441485404968,0.16474494338035583,0.4691906273365021,0.658733606338501,0.1899378001689911,0.4854315221309662,0.28837618231773376,0.3385811448097229,0.44256699085235596,0.4819129705429077,0.17778918147087097,0.26809602975845337,0.11609414964914322,0.4854315221309662,0.658733606338501,0.2401144802570343,0.22961433231830597
",",0.5201468467712402,0.22640827298164368,1.0000001192092896,0.427140474319458,0.2011108100414276,0.4946078956127167,0.3087472915649414,0.20181523263454437,0.3139454126358032,0.39254459738731384,0.22658206522464752,0.27714940905570984,0.17834487557411194,0.4946078956127167,0.427140474319458,0.1786278635263443,0.31091248989105225
they,0.4330179989337921,0.2760985791683197,0.390799880027771,0.3528250455856323,0.17702557146549225,0.3426007330417633,0.4431931674480438,0.16351938247680664,0.47909218072891235,0.4858434796333313,0.28070732951164246,0.26771068572998047,0.3454500436782837,0.3426007330417633,0.3528250455856323,0.1992032527923584,0.2753053903579712
impart,0.07481496036052704,0.15674947202205658,0.18708689510822296,0.2411593347787857,0.06382753700017929,0.19359053671360016,0.30942395329475403,0.1844794601202011,0.34566769003868103,0.34672465920448303,0.10586962848901749,0.1511928290128708,0.24613367021083832,0.19359053671360016,0.2411593347787857,0.2650270164012909,0.16633979976177216
magnetic,0.13499167561531067,0.298794150352478,0.15619294345378876,0.19198331236839294,0.10749147087335587,0.16237565875053406,0.19557252526283264,0.2947538197040558,0.2819761633872986,0.2283020317554474,0.17189417779445648,0.21079519391059875,0.45344728231430054,0.16237565875053406,0.19198331236839294,0.8411728143692017,0.10858146101236343
character,0.20910993218421936,0.13618576526641846,0.21002258360385895,0.3054544925689697,0.15717685222625732,0.17163237929344177,0.22097444534301758,0.2888733446598053,0.21908731758594513,0.22663666307926178,0.11852744966745377,0.13373760879039764,0.09925509244203568,0.17163237929344177,0.3054544925689697,0.19222374260425568,0.18056271970272064
to,0.45010748505592346,0.273220032453537,0.44245919585227966,0.45503583550453186,0.21516349911689758,0.41548454761505127,0.455847829580307,0.20668300986289978,0.4979398250579834,0.4972836375236511,0.2183011770248413,0.3639189600944519,0.2494174838066101,0.41548454761505127,0.45503583550453186,0.2389988750219345,0.29463258385658264
oxygen,0.1672476977109909,0.23196229338645935,0.21812842786312103,0.21662019193172455,0.09044943004846573,0.16848602890968323,0.16781960427761078,0.35867807269096375,0.3056217133998871,0.28851351141929626,0.12117334455251694,0.1443812996149063,0.18953174352645874,0.16848602890968323,0.21662019193172455,0.24370773136615753,0.16786395013332367
when,0.4431333839893341,0.2910088300704956,0.36674630641937256,0.44397395849227905,0.14630869030952454,0.3757161796092987,0.4700249433517456,0.24271050095558167,0.39191514253616333,0.4451393485069275,0.19830277562141418,0.38258615136146545,0.17489315569400787,0.3757161796092987,0.44397395849227905,0.21075771749019623,0.22841128706932068
it,0.5130809545516968,0.2341046929359436,0.48329564929008484,0.5452592968940735,0.22799189388751984,0.38761502504348755,0.45803478360176086,0.29076260328292847,0.3819273114204407,0.5203388929367065,0.28878268599510193,0.311247855424881,0.18093343079090118,0.38761502504348755,0.5452592968940735,0.2825293242931366,0.25732165575027466
is,0.5394441485404968,0.16474494338035583,0.4691906273365021,0.658733606338501,0.1899378001689911,0.4854315221309662,0.28837618231773376,0.3385811448097229,0.44256699085235596,0.4819129705429077,0.17778918147087097,0.26809602975845337,0.11609414964914322,0.4854315221309662,0.658733606338501,0.2401144802570343,0.22961433231830597
in,1.0,0.21977302432060242,0.5201468467712402,0.539380669593811,0.235438272356987,0.5696388483047485,0.30808621644973755,0.16983667016029358,0.26527702808380127,0.3481820821762085,0.25829681754112244,0.41100412607192993,0.17341306805610657,0.5696388483047485,0.539380669593811,0.18377093970775604,0.20430970191955566
the,0.6662389636039734,0.21008943021297455,0.4933079481124878,0.5829201340675354,0.27692803740501404,0.733189046382904,0.42745697498321533,0.2041647583246231,0.312528520822525,0.4248143136501312,0.2950156033039093,0.39067012071609497,0.21806979179382324,0.733189046382904,0.5829201340675354,0.20539982616901398,0.22068053483963013
presence,0.24880747497081757,0.23377539217472076,0.21457527577877045,0.2469376027584076,0.07733121514320374,0.2917717397212982,0.24428647756576538,0.19406941533088684,0.22971411049365997,0.2847478985786438,0.21472226083278656,0.1973010152578354,0.2169433981180191,0.2917717397212982,0.2469376027584076,0.190765380859375,0.08592845499515533
of,0.5696388483047485,0.16935081779956818,0.4946078956127167,0.5052502155303955,0.17739711701869965,1.0,0.33290785551071167,0.21102571487426758,0.2603091299533844,0.33904364705085754,0.23442776501178741,0.3737983703613281,0.15186354517936707,1.0,0.5052502155303955,0.17198558151721954,0.1826142966747284
a,0.539380669593811,0.21744723618030548,0.427140474319458,1.0,0.1554761528968811,0.5052502155303955,0.3320399522781372,0.3271445333957672,0.3915780484676361,0.39883795380592346,0.23064446449279785,0.29385313391685486,0.17869403958320618,0.5052502155303955,1.0,0.2758888900279999,0.23916715383529663
magnetic,0.13499167561531067,0.298794150352478,0.15619294345378876,0.19198331236839294,0.10749147087335587,0.16237565875053406,0.19557252526283264,0.2947538197040558,0.2819761633872986,0.2283020317554474,0.17189417779445648,0.21079519391059875,0.45344728231430054,0.16237565875053406,0.19198331236839294,0.8411728143692017,0.10858146101236343
field,0.20553018152713776,0.2889730632305145,0.27645614743232727,0.2030690312385559,0.11339587718248367,0.20410659909248352,0.1825202852487564,0.2116047888994217,0.15660448372364044,0.21388062834739685,0.13640838861465454,0.16184750199317932,0.3137666583061218,0.20410659909248352,0.2030690312385559,0.3729820251464844,0.11279727518558502
",",0.5201468467712402,0.22640827298164368,1.0000001192092896,0.427140474319458,0.2011108100414276,0.4946078956127167,0.3087472915649414,0.20181523263454437,0.3139454126358032,0.39254459738731384,0.22658206522464752,0.27714940905570984,0.17834487557411194,0.4946078956127167,0.427140474319458,0.1786278635263443,0.31091248989105225
because,0.37423941493034363,0.2492174208164215,0.372031033039093,0.42230045795440674,0.14717423915863037,0.4075504541397095,0.46729007363319397,0.239339679479599,0.4189445674419403,0.5052481293678284,0.22841110825538635,0.3145020008087158,0.24372008442878723,0.4075504541397095,0.42230045795440674,0.22122083604335785,0.2528740465641022
of,0.5696388483047485,0.16935081779956818,0.4946078956127167,0.5052502155303955,0.17739711701869965,1.0,0.33290785551071167,0.21102571487426758,0.2603091299533844,0.33904364705085754,0.23442776501178741,0.3737983703613281,0.15186354517936707,1.0,0.5052502155303955,0.17198558151721954,0.1826142966747284
the,0.6662389636039734,0.21008943021297455,0.4933079481124878,0.5829201340675354,0.27692803740501404,0.733189046382904,0.42745697498321533,0.2041647583246231,0.312528520822525,0.4248143136501312,0.2950156033039093,0.39067012071609497,0.21806979179382324,0.733189046382904,0.5829201340675354,0.20539982616901398,0.22068053483963013
